Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
"… of parents of children with cerebral palsy on the supports, challenges, and realities of integrating augmentative and alternative communication into everyday life",https://pubs.asha.org/doi/abs/10.1044/2019_AJSLP-19-00103,10.1044/2019_ajslp-19-00103,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Tara O{\textquotesingle}Neill and Krista M. Wilkinson
Knowledge and experiences with augmentative and alternative communication by paediatric nurses: a pilot study,https://www.tandfonline.com/doi/abs/10.1080/17483107.2019.1685015,10.1080/17483107.2019.1685015,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Disability and Rehabilitation: Assistive Technology,False,,Amanda Simmons and Jillian McCarthy and Rebecca Koszalinski and Mark Hedrick and Kevin Reilly and Ellen Hamby
The training experiences of augmentative and alternative communication practitioners in one midwestern state,https://pubs.asha.org/doi/abs/10.1044/2019_PERS-19-00053,10.1044/2019_pers-19-00053,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Sarah N. Douglas and Patricia West and Rebecca Kammes
… and alternative communication: Research and technology development to enhance communication and participation for individuals with complex communication …,https://www.tandfonline.com/doi/abs/10.1080/07434618.2018.1556732,10.1080/07434618.2018.1556732,True,__and alternative communication_ Research and technology development to enhance communication and participation for individuals with complex communication__.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,True,Scholar,Janice Light and David McNaughton and David Beukelman and Susan Koch Fager and Melanie Fried-Oken and Thomas Jakobs and Erik Jakobs
Augmentative and alternative communication improves quality of life in the early stages of amyotrophic lateral sclerosis,https://search.proquest.com/openview/a4cab68de6b1e3c08dbc082ad04e50e1/1?pq-origsite=gscholar&cbl=34390,,False,Augmentative and alternative communication improves quality of life in the early stages of amyotrophic lateral sclerosis.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,SciHub,
Integrating visual methods with dialogical interviews in research with youth who use augmentative and alternative communication,https://journals.sagepub.com/doi/pdf/10.1177/1609406917750945,10.1177/1609406917750945,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Qualitative Methods,False,,Gail Teachman and Barbara E. Gibson
Enhancing language in children who are deaf/hard-of-hearing using augmentative and alternative communication technology strategies,https://www.sciencedirect.com/science/article/pii/S0165587619302897,10.1016/j.ijporl.2019.06.015,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Pediatric Otorhinolaryngology,False,,Jareen Meinzen-Derr and Rose M. Sheldon and Seth Henry and Sandra M. Grether and Laura E. Smith and Lindsay Mays and Ilka Riddle and Mekibib Altaye and Susan Wiley
A context-aware augmentative and alternative communication system for school children with intellectual disabilities,https://ieeexplore.ieee.org/abstract/document/8708953/,10.1109/jsyst.2019.2911671,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{IEEE} Systems Journal,False,,Rosanna Yuen-Yan Chan and Eri Sato-Shimokawara and Xue Bai and Motohashi Yukiharu and Sze-Wing Kuo and Anson Chung
A survey of American speech-language pathologists' perspectives on augmentative and alternative communication assessment and intervention across language …,https://pubs.asha.org/doi/abs/10.1044/2020_AJSLP-20-00224,10.1044/2020_ajslp-20-00224,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Thomas Kovacs
Collaboration between stakeholders involved in augmentative and alternative communication (AAC) care of people without natural speech,https://www.tandfonline.com/doi/abs/10.1080/13561820.2020.1860918,10.1080/13561820.2020.1860918,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Interprofessional Care,False,,Sarah A. K. Uthoff and Anna Zinkevich and Jens Boenisch and Stefanie K. Sachse and Tobias Bernasconi and Lena Ansmann
… augmentative and alternative communication in poststroke aphasia: A review of the factors that contribute to successful augmentative and alternative communication …,https://pubs.asha.org/doi/abs/10.1044/2019_PERS-SIG2-2018-0016,10.1044/2019_pers-sig2-2018-0016,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Shannon Taylor and Sarah Jane Wallace and Sarah Elizabeth Wallace
Being heard–Supporting person‐centred communication in paediatric care using augmentative and alternative communication as universal design: A position paper,https://onlinelibrary.wiley.com/doi/abs/10.1111/nin.12426,10.1111/nin.12426,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Nursing Inquiry,False,,Gunilla Thunberg and Ensa Johnson and Juan Bornman and Joakim Ã–hl{\'{e}}n and Stefan Nilsson
Evaluating the perspectives of those with severe physical impairments while learning BCI control of a commercial augmentative and alternative communication …,https://www.tandfonline.com/doi/abs/10.1080/10400435.2021.1949405,10.1080/10400435.2021.1949405,True,Evaluating the perspectives of those with severe physical impairments while learning BCI control of a commercial augmentative and alternative communication__.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Assistive Technology,True,Scholar,Kevin M. Pitt and Jonathan S. Brumberg
Augmentative and alternative communication use: family and professionals' perceptions of facilitators and barriers,https://www.scielo.br/j/codas/a/kXVpq9kCZq9W8N9B7jy4q3b/abstract/?lang=en,,False,Augmentative and alternative communication use_ family and professionals_ perceptions of facilitators and barriers.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,SciHub,N Romano;RYS Chun
Instruction using augmentative and alternative communication supports: Description of current practices by speech-language pathologists who work with children with …,https://pubs.asha.org/doi/abs/10.1044/2019_AJSLP-19-00045,10.1044/2019_ajslp-19-00045,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Kaitlyn A. Clarke and Diane L. Williams
The effects of augmentative and alternative communication interventions on the receptive language skills of children with developmental disabilities: A scoping review,https://www.tandfonline.com/doi/abs/10.1080/17549507.2020.1797165,10.1080/17549507.2020.1797165,True,The effects of augmentative and alternative communication interventions on the receptive language skills of children with developmental disabilities_ A scoping review.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Speech-Language Pathology,True,Scholar,Shakila Dada and Cathy Flores and Kirsty Bastable and Ralf W. Schlosser
Use of augmentative and alternative communication by individuals with Rett syndrome part 1: Page-linking,https://link.springer.com/article/10.1007/s10882-023-09903-x,10.1007/s10882-023-09902-y,True,,2023,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Developmental and Physical Disabilities,False,,Emily K. Unholz-Bowden and Shawn N. Girtler and Alefyah Shipchandler and Rebecca L. Kolb and Jennifer J. McComas
Tactile board: a multimodal augmentative and alternative communication device for individuals with Deafblindness,https://dl.acm.org/doi/abs/10.1145/3428361.3428465,10.1145/3428361.3428465,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{ACM},False,,Arthur Theil and Lea Buchweitz and James Gay and Eva Lindell and Li Guo and Nils-Krister Persson and Oliver Korn
Augmentative and alternative communication intervention for people with Angelman syndrome: A systematic review,https://link.springer.com/article/10.1007/s40474-020-00187-w,10.1007/s40474-020-00187-w,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Current Developmental Disorders Reports,False,,Laura Roche and Jeff Sigafoos and David Trembath
Comparative effects of picture symbol with paired text and text-only augmentative and alternative communication representations on communication from children with …,https://pubs.asha.org/doi/abs/10.1044/2020_AJSLP-20-00099,10.1044/2020_ajslp-20-00099,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Christine Holyfield
Framework for selecting vocabulary for preliterate children who use augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2019_AJSLP-18-0041,10.1044/2019_ajslp-18-0041,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Allison Bean and Lindsey Paden Cargill and Samantha Lyle
Multicultural considerations in augmentative and alternative communication,https://www.tandfonline.com/doi/abs/10.1080/10400435.2022.2108931,10.1080/10400435.2022.2108931,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Assistive Technology,False,,Bethany J. Frick and Allison F. Bean and Amy Miller Sonntag
Communicating to non-speaking critically ill patients: augmentative and alternative communication technique as an essential strategy,https://journals.sagepub.com/doi/pdf/10.1177/23779608211015234,10.1177/23779608211015234,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{SAGE} Open Nursing,False,,"Asaad Nasser Salim Al-Yahyai, RN, BSN and Judie Arulappan, RN, RM, BSC (N), MSC (N), PhD (N), DNSc and Gerald Amandu Matua and Sultan Marhoon Al-Ghafri, RN, BSN and Sami Hamood Al-Sarakhi, RN, BSN and Khalid Khalfan Said Al-Rahbi, RN, BSN and Sathish Kumar Jayapal"
Teaching preschoolers with Down syndrome using augmentative and alternative communication modeling during small group dialogic reading,https://pubs.asha.org/doi/abs/10.1044/2019_AJSLP-19-0017,10.1044/2019_ajslp-19-0017,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Emily D. Quinn and Ann P. Kaiser and Jennifer R. Ledford
Barriers to and facilitators for the use of augmentative and alternative communication and voice restorative strategies for adults with an advanced airway in the …,https://www.sciencedirect.com/science/article/pii/S088394411931737X,10.1016/j.jcrc.2020.02.015,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Critical Care,False,,Laura Istanboulian and Louise Rose and Franklin Gorospe and Yana Yunusova and Craig M. Dale
… training to improve service provider implementation of letter–sound correspondence instruction for individuals who use augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2022_AJSLP-21-00142,10.1044/2022_ajslp-21-00142,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Jessica G. Caron and Meghan O{\textquotesingle}Brien and Rachel Weintraub
Considering augmentative and alternative communication research for brain-computer interface practice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8442856/,,False,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,False,,KM Pitt;JS Brumberg;AR Pitt
Dynamic Augmentative and Alternative Communication Displays for Individuals with Developmental Disabilities: a Review,https://link.springer.com/article/10.1007/s40474-022-00246-4,10.1007/s40474-022-00246-4,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Current Developmental Disorders Reports,False,,Tiffany Chavers and Cissy Cheng and Rajinder Koul
Multilingualism and augmentative and alternative communication in South Africa–Exploring the views of persons with complex communication needs,https://journals.co.za/doi/abs/10.4102/ajod.v8i0.507,10.4102/ajod.v8i0.507,True,Multilingualism and augmentative and alternative communication in South Africa_Exploring the views of persons with complex communication needs.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",African Journal of Disability,True,Scholar,Kerstin M. Tönsing and Karin Van Niekerk and Georg Schlünz and Ilana Wilken
School-based speech-language pathologists: Confidence in augmentative and alternative communication assessment,https://pubs.asha.org/doi/abs/10.1044/2020_LSHSS-20-00067,10.1080/07434618.2023.2208222,True,,2023,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Wansiya Kamonsitichai and Howard Goldstein
Parent perspectives on augmentative and alternative communication integration for children with Fragile X Syndrome: It starts in the home,https://meridian.allenpress.com/idd/article-abstract/58/5/409/445826,10.1352/1934-9556-58.5.409,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Intellectual and Developmental Disabilities,False,,Michelle Schladant and Monica Dowling
Developing augmentative and alternative communication systems in languages other than English: a scoping review,https://pubs.asha.org/doi/abs/10.1044/2022_AJSLP-21-00396,10.1044/2022_ajslp-21-00396,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Rebecca Amery and Abirami Thirumanickam and Ruth Barker and Anne Lowell and Deborah Theodoros and Parimala Raghavendra
Barriers and facilitators of using augmentative and alternative communication with students with multiple disabilities in inclusive education: Special education teachers …,https://www.tandfonline.com/doi/abs/10.1080/13603116.2019.1597185,10.1080/13603116.2019.1597185,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Inclusive Education,False,,Rashed Aldabas
… science to support active collaboration in noninvasive brain–computer interface development and translation for augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2021_AJSLP-21-00152,10.1044/2021_ajslp-21-00152,True,__science to support active collaboration in noninvasive brain_computer interface development and translation for augmentative and alternative communication.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,True,Scholar,Kevin M. Pitt and Aimee Dietz
Augmentative and alternative communication telepractice during the COVID-19 pandemic: A national survey of speech-language pathologists,https://pubs.asha.org/doi/abs/10.1044/2021_AJSLP-21-00036,10.1044/2021_ajslp-21-00036,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Elizabeth E. Biggs and Michelle C. S. Therrien and Sarah N. Douglas and Melinda R. Snodgrass
“Everyone deserves AAC”: Preliminary study of the experiences of speaking autistic adults who use augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2021_PERSP-20-00220,10.1044/2021_persp-20-00220,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Amy L. Donaldson and endever{\ast} corbin and Jamie McCoy
A systematic review of evidence-based instruction for individuals with autism using mobile augmentative and alternative communication technology,https://link.springer.com/article/10.1007/s40489-022-00334-6,10.1007/s40489-022-00334-6,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Review Journal of Autism and Developmental Disorders,False,,Elizabeth R. Lorah and Christine Holyfield and Brenna Griffen and Nicolette Caldwell
ExHIBit: Breath-based augmentative and alternative communication solution using commercial RFID devices,https://www.sciencedirect.com/science/article/pii/S0020025522006600,10.1016/j.ins.2022.06.066,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Information Sciences,False,,Qiang Wang and Jumin Zhao and Shuang Xu and Kenan Zhang and Dengao Li and Ruiqin Bai and Fayadh Alenezi
Reconnecting Indigenous language for a child using augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2022_LSHSS-22-00113,10.1044/2022_lshss-22-00113,True,,2023,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Language, Speech, and Hearing Services in Schools",False,,Janet Callahan and Elizabeth K. Hanson
Use of Augmentative and Alternative Communication by Individuals with Rett Syndrome Part 2: High-Tech and Low-Tech Modalities,https://link.springer.com/article/10.1007/s10882-023-09902-y,10.1007/s10882-023-09902-y,True,,2023,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Developmental and Physical Disabilities,False,,Emily K. Unholz-Bowden and Shawn N. Girtler and Alefyah Shipchandler and Rebecca L. Kolb and Jennifer J. McComas
